dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
CiteSeer,0.1,3,0.7,0.2,0.001000046730041504
CiteSeer,0.1,3,0.7,0.3,0.0
CiteSeer,0.1,3,0.7,0.4,0.0
CiteSeer,0.1,3,0.7,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.7,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.7,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.7,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.7,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.7,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.8,0.0,0.006000041961669922
CiteSeer,0.1,3,0.8,0.1,0.001000046730041504
CiteSeer,0.1,3,0.8,0.2,0.001000046730041504
CiteSeer,0.1,3,0.8,0.3,-0.0009999871253967285
CiteSeer,0.1,3,0.8,0.4,0.0
CiteSeer,0.1,3,0.8,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.8,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.8,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.8,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.8,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.8,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.9,0.0,0.006000041961669922
CiteSeer,0.1,3,0.9,0.1,0.001000046730041504
CiteSeer,0.1,3,0.9,0.2,0.001000046730041504
CiteSeer,0.1,3,0.9,0.3,-0.0009999871253967285
CiteSeer,0.1,3,0.9,0.4,0.0
CiteSeer,0.1,3,0.9,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.9,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.9,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.9,0.8,-0.0029999613761901855
